customerid,tenure,monthlycharges,totalcharges,churn
0378-CJKPV,72,112,7965,No
4706-AXVKM,11,85,906,Yes
5889-JTMUL,50,95,4888,Yes
9026-RNUJS,5,50,237,Yes
3746-EUBYR,1,75,74,Yes
2332-EFBJY,16,20,342,Yes
2880-FPNAE,2,74,140,No
1703-MGIAB,17,69,1108,No
4311-QTTAI,16,19,295,No
9474-PHLYD,15,59,892,Yes
4318-RAJVY,10,20,198,No
2165-VOEGB,46,105,4822,Yes
3612-YUNGG,64,109,6741,No
2254-DLXRI,1,79,79,No
5062-CJJKH,25,54,1355,No
9028-LIHRP,71,100,7209,No
2219-MVUSO,8,45,438,Yes
1053-MXTTK,72,109,7726,No
1530-ZTDOZ,49,41,2070,No
1301-LOPVR,29,55,1636,No
0853-TWRVK,72,106,7581,No
8914-RBTSB,31,94,3019,Yes
6212-ATMLK,50,96,4729,No
8200-LGKSR,71,83,6126,No
1568-BEKZM,70,90,6333,No
0670-ANMUU,71,98,6687,No
6897-RWMUB,61,68,4158,No
0963-ZBDRN,32,96,3183,Yes
7594-RQHXR,1,80,79,Yes
6999-CHVCF,68,102,7149,No
6134-KWTBV,62,23,1429,No
1077-HUUJM,7,71,472,No
6331-EWIEB,20,85,1734,Yes
0895-LNKRC,6,19,113,No
2045-BMBTJ,33,59,1884,No
8417-GSODA,28,92,2568,No
5171-EPLKN,27,20,470,No
4452-QIIEB,7,44,278,No
5998-VVEJY,26,80,2088,Yes
1624-NALOJ,5,90,502,Yes
6741-EGCBI,30,90,2595,No
7820-ZYGNY,63,90,5825,No
4317-VTEOA,1,51,50,Yes
9677-AVKED,53,85,4449,No
1670-SVOWZ,14,90,1208,Yes
2227-JRSJX,21,99,1956,No
9847-HNVGP,17,20,310,No
6696-YDAYZ,16,20,290,No
8980-WQFWL,35,62,2096,No
1730-ZMAME,32,80,2665,No
6506-EYCNH,28,20,543,No
4634-JLRJT,1,20,20,No
9501-UKKNL,59,52,3005,No
2560-QTSBS,72,23,1623,No
7541-YLXCL,36,65,2498,Yes
4795-WRNVT,40,65,2586,No
6080-TCMYC,40,81,3292,No
0260-ZDLGK,9,73,651,Yes
7860-UXCRM,63,74,4674,No
6357-JJPQT,3,80,232,No
2292-XQWSV,40,60,2448,No
9552-TGUZV,8,75,658,No
5913-INRQV,34,90,3128,No
8722-NGNBH,5,40,223,Yes
6210-KBBPI,9,99,919,Yes
9643-YBLUR,9,69,653,No
8734-FNWVH,31,60,1825,No
9447-YPTBX,50,20,943,No
0133-BMFZO,2,86,181,Yes
6128-CZOMY,1,46,45,Yes
9540-JYROE,8,70,551,Yes
9026-LHEVG,9,41,359,No
2260-USTRB,2,70,115,Yes
3656-TKRVZ,3,55,165,Yes
7011-CVEUC,25,96,2338,No
6185-TASNN,1,46,46,No
7925-PNRGI,45,81,3541,No
8623-TMRBY,51,84,4146,Yes
1552-CZCLL,55,20,1087,No
3038-PQIUY,38,66,2522,No
1501-SGHBW,2,46,81,Yes
9313-CDOGY,38,20,717,No
8148-BPLZQ,34,50,1734,No
2623-DRYAM,70,102,7069,No
9987-LUTYD,13,55,742,No
3208-YPIOE,39,75,3017,Yes
4488-KQFDT,61,104,6423,No
2612-RANWT,12,100,1164,Yes
5693-PIPCS,41,100,4220,No
0491-KAPQG,21,74,1558,No
1925-LFCZZ,55,50,2743,No
8039-EQPIM,69,60,4055,No
6900-PXRMS,26,106,2710,Yes
8707-RMEZH,69,87,6055,No
3346-BRMIS,18,48,810,Yes
3209-ZPKFI,47,54,2538,No
6479-VDGRK,72,85,6129,No
9373-WSLOY,33,50,1750,No
2933-FILNV,2,24,36,Yes
3569-JFODW,72,91,6652,No
9819-FBNSV,37,72,2575,No
9544-PYPSJ,62,96,6019,No
1591-XWLGB,71,20,1379,No
0396-UKGAI,23,55,1284,No
3243-ZHOHY,16,20,296,No
5186-EJEGL,9,70,653,No
7527-QNRUS,17,25,412,No
9986-BONCE,4,21,85,Yes
2722-JMONI,1,50,49,Yes
2203-GHNWN,24,80,1928,No
3878-AVSOQ,1,71,71,No
3258-SYSWS,72,114,7845,No
5296-PSYVW,72,25,1750,No
6319-QSUSR,11,20,216,No
4083-EUGRJ,9,20,178,Yes
7579-OOPEC,2,50,115,Yes
0512-FLFDW,60,100,6029,No
1771-OADNZ,29,96,2745,Yes
0487-CRLZF,49,74,3721,No
2107-FBPTK,30,104,3121,No
9451-WLYRI,53,19,990,No
8219-VYBVI,39,25,1004,No
1991-VOPLL,9,19,157,No
9738-QLWTP,39,82,3219,No
1016-DJTSV,8,70,572,No
9419-IPPBE,51,90,4554,No
0174-QRVVY,71,25,1847,No
5699-BNCAS,71,25,1766,No
2900-PHPLN,70,20,1462,No
0612-RTZZA,1,25,25,Yes
8106-GWQOK,38,60,2193,No
8751-EDEKA,28,90,2433,No
6878-GGDWG,32,19,641,No
4039-PIMHX,49,50,2398,No
8450-LUGUK,37,24,861,No
3604-WLABM,10,54,583,No
0795-GMVQO,67,110,7332,No
2259-OUUSZ,7,36,249,No
1142-IHLOO,51,88,4475,No
6410-LEFEN,9,45,416,Yes
4633-MKHYU,9,88,788,No
6257-RJOHI,4,51,202,No
1545-JFUML,71,99,6994,No
3194-ORPIK,50,84,4116,Yes
7826-VVKWT,24,97,2263,No
1353-GHZOS,22,60,1374,No
2587-EKXTS,44,112,4915,No
5442-BXVND,33,24,838,No
8816-VXNZD,1,75,75,Yes
9378-FXTIZ,54,70,3715,Yes
1723-HKXJQ,42,102,4273,Yes
7825-GKXMW,1,46,45,Yes
9753-OYLBX,1,20,20,No
2364-UFROM,30,70,2044,No
6656-JWRQX,1,31,30,No
6473-ULUHT,16,85,1398,No
1240-KNSEZ,1,20,20,Yes
0836-SEYLU,9,41,328,Yes
4433-JCGCG,46,101,4680,Yes
3716-BDVDB,1,69,69,Yes
7688-AWMDX,71,54,3778,No
2842-BCQGE,43,75,3161,No
7244-QWYHG,50,44,2188,No
5899-MQZZL,13,75,999,Yes
6849-OYAMU,19,100,1888,Yes
5312-UXESG,41,98,3990,No
9488-HGMJH,1,71,71,Yes
6038-GCYEC,24,54,1240,Yes
2150-WLKUW,40,64,2635,No
7159-FVYPK,3,69,235,No
7032-LMBHI,37,65,2347,No
1150-WFARN,67,109,7156,Yes
6088-BXMRG,32,99,3089,No
3144-AUDBS,6,49,270,Yes
4821-SJHJV,32,90,2901,No
7346-MEDWM,59,83,4949,No
1137-DGOWI,30,70,2198,No
5616-PRTNT,20,19,374,Yes
3812-LRZIR,27,24,761,No
4818-QIUFN,20,79,1520,Yes
9483-GCPWE,9,20,190,No
4227-OJHAL,68,73,5163,No
9220-CXRSC,69,61,4059,No
4993-JCRGJ,26,84,2281,No
9537-JALFH,69,20,1356,No
6698-OXETB,11,20,231,No
2103-ZRXFN,1,51,50,No
3724-BSCVH,10,20,242,No
4877-TSOFF,55,76,4264,No
9209-NWPGU,44,65,2774,No
6961-VCPMC,46,80,3605,Yes
7306-YDSOI,69,60,4069,No
5288-AHOUP,11,78,874,No
6688-UZPWD,11,102,1145,Yes
0655-YDGFJ,29,49,1323,No
8468-EHYJA,57,100,5497,No
6823-SIDFQ,28,18,534,No
1097-FSPVW,42,55,2455,No
2839-RFSQE,2,21,38,Yes
8328-SKJNO,23,41,947,No
7010-ZMVBF,18,20,357,No
5201-CBWYG,62,25,1476,No
0968-GSIKN,1,71,70,Yes
1965-DDBWU,16,89,1448,Yes
9057-SIHCH,3,97,291,Yes
6352-GIGGQ,67,89,5903,No
3635-QQRQD,62,20,1201,No
6771-XWBDM,57,104,5921,Yes
2897-DOVND,2,70,146,No
3082-YVEKW,23,77,1759,No
0191-EQUUH,25,35,844,No
7134-HBPBS,72,108,7774,No
3489-HHPFY,2,84,134,No
2926-JEJJC,8,20,140,No
8601-QACRS,5,51,249,Yes
4950-BDEUX,35,49,1701,No
5789-LDFXO,24,25,592,No
0508-OOLTO,2,72,135,No
2984-TBYKU,72,105,7732,No
9822-WMWVG,41,106,4282,No
2391-SOORI,4,49,219,Yes
9040-KZVWO,26,76,2018,No
2645-QTLMB,7,94,669,Yes
4806-HIPDW,1,69,68,Yes
1548-ARAGG,4,58,224,No
6339-RZCBJ,48,79,3771,No
4424-TKOPW,2,94,196,Yes
4415-WNGVR,12,79,943,No
2522-AHJXR,60,109,6572,No
0412-UCCNP,55,59,3175,No
1816-FLZDK,1,29,29,No
7096-UCLNH,1,20,20,No
8443-ZRDBZ,4,76,318,Yes
9136-ALYBR,1,24,24,Yes
4615-PIVVU,42,66,2762,No
8885-QSQBX,1,50,49,No
7479-NITWS,7,89,631,Yes
8617-ENBDS,3,74,232,No
9385-NXKDA,72,83,5919,No
0430-IHCDJ,15,49,749,No
2959-MJHIC,4,80,307,Yes
6674-KVJHG,11,25,245,No
1814-DKOLC,5,25,134,No
4201-JMNGR,1,56,55,Yes
9351-HXDMR,72,111,8240,No
3537-HPKQT,55,78,4266,No
2129-ALKBS,40,26,1077,No
5821-MMEIL,57,20,1115,No
5960-WPXQM,1,79,79,Yes
0684-AOSIH,1,95,95,Yes
8260-NGFNY,1,25,25,Yes
1309-XGFSN,52,81,4079,No
1866-RZZQS,41,98,4187,Yes
6968-URWQU,43,56,2391,No
4742-TXUEX,47,19,890,No
9631-XEYKE,3,50,137,No
8631-NBHFZ,66,79,5154,Yes
1335-MXCSE,55,55,3119,No
8873-TMKGR,29,19,529,No
8800-JOOCF,12,84,966,No
1469-LBJQJ,66,105,6936,No
4958-XCBDQ,35,101,3496,Yes
8337-UPOAQ,10,90,914,Yes
0064-YIJGF,27,76,1929,No
2386-OWURY,58,95,5817,No
1725-IQNIY,54,110,6110,Yes
0310-VQXAM,9,20,178,No
6598-RFFVI,2,19,28,Yes
3453-RTHJQ,6,69,435,No
6712-OAWRH,26,91,2351,Yes
6278-FEPBZ,9,20,186,No
4280-DLSHD,8,55,445,No
1508-DFXCU,12,81,912,No
8614-VGMMV,15,49,679,Yes
7868-BGSZA,43,80,3581,No
2800-QQUSO,42,100,4222,No
2930-UOTMB,31,65,1994,Yes
7973-DZRKH,66,91,5930,No
5914-DVBWJ,18,85,1505,Yes
7698-YFGEZ,1,20,20,No
2533-QVMSK,61,94,5638,Yes
9773-PEQBZ,10,80,797,No
8644-XLFBW,1,72,71,Yes
0650-BWOZN,18,74,1359,No
8625-AZYZY,24,105,2542,Yes
7785-RDVIG,3,19,54,No
9602-WCXPI,50,20,989,No
2903-YYTBW,1,45,44,No
3620-MWJNE,2,54,87,No
8573-JGCZW,17,20,351,No
6837-HAEVO,69,105,7297,No
6701-YVNQG,72,89,6301,No
9306-CPCBC,3,74,210,Yes
4304-XUMGI,50,75,3822,No
9504-YAZWB,53,20,1048,No
8819-ZBYNA,58,109,6393,No
6174-NRBTZ,46,31,1489,No
9481-IEBZY,72,113,8061,No
1833-VGRUM,1,74,74,Yes
6137-NICCO,6,94,518,No
9065-ZCPQX,72,79,5763,No
6402-EJMWF,4,55,238,No
3620-EHIMZ,52,19,1031,No
3213-VVOLG,0,25,0,No
6870-ECSHE,2,20,34,No
8747-UDCOI,65,19,1319,No
8374-XGEJJ,43,101,4388,Yes
2656-TABEH,4,100,420,Yes
6946-LMSQS,25,89,2177,Yes
4626-OZDTJ,51,79,3950,No
9169-BSVIN,12,75,827,No
2325-ZUSFD,57,70,3913,Yes
8194-PEEBY,24,20,533,No
6872-HXFNF,64,58,3756,No
3932-CMDTD,4,106,443,Yes
7714-YXSMB,26,100,2599,No
8387-UGUSU,15,20,284,No
1080-BWSYE,64,26,1740,No
4039-HEUNW,36,96,3436,Yes
1194-HVAIF,27,95,2462,No
0812-WUPTB,1,71,70,Yes
3594-UVONA,35,86,3110,Yes
0004-TLHLJ,4,74,280,Yes
1767-TGTKO,8,45,411,No
8439-LTUGF,10,20,198,No
8805-JNRAZ,2,49,103,No
5089-IFSDP,58,109,6144,Yes
6418-HNFED,51,83,4089,No
0206-OYVOC,46,19,864,No
7291-CDTMJ,1,20,19,No
7128-GGCNO,46,73,3249,No
0237-YFUTL,50,110,5405,No
7691-KGKGP,53,65,3363,No
6710-HSJRD,61,114,7132,No
3675-EQOZA,5,21,93,No
0840-DCNZE,47,87,4138,No
1732-FEKLD,54,95,5121,No
9862-KJTYK,19,25,566,No
0479-HMSWA,26,105,2715,No
5854-KSRBJ,70,25,1782,No
0365-BZUWY,17,103,1742,No
4817-VYYWS,30,100,2983,Yes
5701-SVCWR,1,24,24,No
3129-AAQOU,19,26,485,No
4922-CVPDX,26,74,1905,No
1396-QWFBJ,21,74,1565,Yes
1357-BIJKI,50,98,4858,No
1099-BTKWT,68,54,3723,No
5299-SJCZT,3,102,298,Yes
2018-PZKMU,9,103,970,No
7340-KEFQE,51,34,1782,No
4570-QHXHL,9,44,405,No
2403-BCASL,41,112,4534,Yes
7392-YYPYJ,22,101,2415,No
2898-LSJGD,21,56,1157,Yes
2223-GDSHL,71,116,8297,No
7359-PTSXY,1,46,45,Yes
9470-RTWDV,26,82,2083,No
2176-OSJUV,71,65,4681,No
9348-YVOMK,4,45,176,No
8104-OSKWT,12,80,1001,No
4521-YEEHE,18,89,1594,No
4090-KPJIP,3,75,212,No
3786-WOVKF,72,107,7677,No
4503-BDXBD,11,75,815,Yes
6086-ESGRL,1,80,80,Yes
2592-HODOV,13,19,259,No
3886-CERTZ,72,109,8109,Yes
7995-ZHHNZ,42,56,2386,No
3824-RHKVR,17,20,340,No
5816-SCGFC,7,51,419,No
5989-AXPUC,68,119,7990,No
4979-HPRFL,56,24,1402,No
8590-OHDIW,38,20,749,No
8015-IHCGW,72,116,8425,No
2332-TODQS,48,25,1171,No
9278-VZKCD,52,109,5647,No
8008-OTEZX,35,20,708,No
2773-OVBPK,67,111,7567,No
5999-LCXAO,1,30,29,No
5206-XZZQI,53,81,4348,No
4803-LBYPN,34,21,635,No
5759-RCVCB,3,35,108,Yes
6372-RFVNS,1,79,78,Yes
2139-FQHLM,19,90,1682,No
8261-GWDBQ,60,116,6925,No
1093-YSWCA,11,20,223,No
8938-UMKPI,47,106,5127,Yes
0991-BRRFB,18,49,874,Yes
3882-IYOIJ,60,115,6758,No
8749-TZYEC,72,25,1874,No
1755-FZQEC,39,20,791,No
3115-JPJDD,59,81,4639,No
5600-KTXFM,2,70,143,No
3871-IKPYH,1,69,69,Yes
6319-IEJWJ,20,90,1776,Yes
9025-AOMKI,6,94,536,Yes
6339-TBELP,71,86,6172,No
7964-YESJC,24,66,1559,No
6173-GOLSU,67,95,6079,No
5275-SQEIZ,1,81,80,Yes
7716-YTYHG,48,82,4029,Yes
9938-ZREHM,37,72,2658,No
7950-XWOVN,11,35,383,No
4390-KYULV,3,21,51,Yes
4647-MUZON,18,96,1745,No
9702-AIUJO,50,45,2230,No
8849-PRIQJ,67,109,7281,No
8851-RAGOV,25,71,1837,No
1304-NECVQ,2,79,149,Yes
5396-IZEPB,9,20,180,No
1729-VLAZJ,10,40,411,No
8285-ABVLB,70,20,1328,No
0701-TJSEF,9,68,576,No
5712-VBOXD,4,20,68,No
6629-LADHQ,2,51,123,No
8945-GRKHX,1,79,78,Yes
1559-DTODC,19,25,468,No
4797-MIWUM,7,20,174,No
6959-UWKHF,1,43,42,Yes
8720-RQSBJ,1,44,44,No
4537-CIBHB,9,20,172,No
3815-SLMEF,3,34,139,Yes
5154-VEKBL,9,58,539,Yes
4324-AHJKS,5,56,300,No
4355-CVPVS,56,89,4968,No
4495-LHSSK,18,58,992,No
5655-JSMZM,49,96,4718,Yes
5915-ANOEI,70,79,5536,No
9861-PDSZP,72,108,7806,No
4505-EXZHB,6,74,434,Yes
7225-CBZPL,17,95,1563,No
6704-UTUKK,29,46,1332,No
4587-VVTOX,6,105,545,Yes
2019-HDCZY,63,103,6296,No
4652-NNHNY,16,74,1284,Yes
8788-DOXSU,59,61,3645,No
7404-JLKQG,3,58,161,No
7421-ZLUPA,8,29,226,No
8972-HJWNV,7,85,646,Yes
3274-NSDWE,68,20,1441,No
2632-IVXVF,68,112,7511,No
3692-JHONH,52,106,5621,No
8915-NNTRC,72,108,7919,No
5914-GXMDA,32,19,593,No
7463-IFMQU,72,20,1423,No
2920-RNCEZ,1,70,69,No
2541-YGPKE,42,64,2763,No
8515-OCTJS,25,25,692,Yes
5382-TEMLV,45,51,2298,No
3441-CGZJH,43,60,2640,No
9592-ERDKV,37,79,2911,No
2860-RANUS,20,86,1727,Yes
5261-QSHQM,4,24,86,Yes
4778-IZARL,63,110,6705,No
0432-CAJZV,3,91,237,No
7008-LZVOZ,66,25,1672,No
8868-WOZGU,28,106,2979,Yes
1200-TUZHR,8,85,695,No
9365-CSLBQ,71,24,1654,No
1334-FJSVR,1,24,24,Yes
5884-FBCTL,72,25,1857,No
7130-CTCUS,16,55,825,No
6242-FEGFD,66,97,6424,No
7625-XCQRH,11,76,837,Yes
6194-HBGQN,51,81,4126,No
7634-WSWDB,8,38,330,No
6986-IXNDM,14,93,1337,No
1731-TVIUK,4,94,362,Yes
2987-BJXIK,70,85,5991,No
9769-TSBZE,70,66,4891,No
0406-BPDVR,54,102,5373,Yes
0618-XWMSS,28,75,2068,Yes
1395-WSWXR,24,21,487,No
6023-GSSXW,69,61,4131,No
6752-APNJL,42,54,2301,No
5276-KQWHG,2,70,131,Yes
0420-HLGXF,39,100,4036,No
7446-KQISO,45,110,4900,No
9823-EALYC,72,81,5727,No
0582-AVCLN,38,20,743,No
5803-NQJZO,72,68,4804,No
2565-JSLRY,1,24,24,Yes
2607-DHDAK,72,20,1414,No
1073-XXCZD,55,26,1443,No
0743-HRVFF,51,56,2898,No
4006-HKYHO,63,87,5309,No
3727-JEZTU,1,20,20,No
8143-ETQTI,23,20,451,No
6689-KXGBO,1,51,50,Yes
9667-TKTVZ,2,54,117,No
3657-COGMW,52,108,5839,No
8570-KLJYJ,36,54,1893,No
7754-IXRMC,1,45,45,No
9473-CBZOP,28,59,1654,No
2969-WGHQO,7,69,477,No
6615-NGGZJ,14,101,1415,Yes
4334-HOWRP,72,65,4546,No
4255-DDUOU,1,20,20,Yes
5863-OOKCL,10,19,163,No
1686-STUHN,42,20,849,No
1329-VHWNP,7,25,189,No
2984-MIIZL,4,75,321,Yes
0266-GMEAO,72,114,8058,No
5590-YRFJT,20,24,482,Yes
5574-NXZIU,63,109,7049,No
0019-GFNTW,56,45,2560,No
4256-ZWTZI,5,51,286,No
8309-PPCED,72,110,7982,No
4098-NAUKP,68,85,5683,No
5196-WPYOW,67,60,3994,No
4608-LCIMN,8,45,369,No
1485-YDHMM,52,93,4631,No
4054-CUMIA,18,20,401,No
0603-TPMIB,59,25,1534,No
2525-GVKQU,60,21,1093,No
8161-QYMTT,7,94,701,No
9581-GVBXT,59,35,1980,No
5862-BRIXZ,46,61,2893,No
5404-GGUKR,5,51,262,No
3308-JSGML,59,64,3886,No
2126-GSEGL,70,85,5917,No
3677-TNKIO,14,71,914,Yes
0440-QEXBZ,44,50,2139,No
2434-EEVDB,64,95,5948,No
6762-QVYJO,58,60,3624,No
6199-IWKGC,46,100,4753,No
2675-DHUTR,58,99,5780,No
8152-VETUR,72,98,6869,No
9667-EQRXU,30,40,1172,Yes
7446-YPODE,11,60,662,No
9522-BNTHX,34,56,1765,No
4676-WLUHT,54,46,2431,No
3329-WDIOK,3,51,155,Yes
7980-MHFLQ,72,25,1859,No
2873-ZLIWT,40,85,3303,Yes
3415-TAILE,2,66,134,Yes
0757-WCUUZ,54,63,3409,No
1629-DQQVB,14,50,709,No
1915-IOFGU,1,70,70,Yes
3045-XETSH,10,95,953,Yes
0374-AACSZ,1,50,50,No
7239-HZZCX,1,20,19,Yes
4872-VXRIL,56,65,3665,No
9140-CZQZZ,68,80,5515,No
3423-HHXAO,14,20,272,No
9938-TKDGL,68,100,6668,No
0531-ZZJWQ,55,74,4052,No
6537-QLGEX,16,39,664,No
2688-BHGOG,9,80,718,No
7683-CBDKJ,14,65,937,Yes
0946-CLJTI,58,99,5812,Yes
3160-TYXLT,53,46,2546,No
1325-USMEC,70,99,6944,No
0916-QOFDP,14,96,1346,No
0628-CNQRM,22,68,1544,Yes
5606-AMZBO,10,78,765,No
6199-IPCAO,29,26,692,No
7665-TOALD,1,70,69,Yes
0112-QWPNC,49,84,4059,Yes
0324-BRPCJ,68,100,6851,Yes
2777-PHDEI,1,78,78,Yes
5640-CAXOA,30,40,1187,No
2235-EZAIK,72,79,5401,No
3847-BAERP,10,21,247,No
1196-AMORA,7,74,520,Yes
4282-YMKNA,9,75,706,Yes
1453-RZFON,1,50,49,No
8263-OKETD,20,69,1370,No
0670-KDOMA,1,20,20,No
2476-YGEFM,29,76,2215,No
8687-BAFGU,1,74,74,No
0641-EVBOJ,3,82,214,No
0829-XXPLX,20,89,1871,No
9974-JFBHQ,64,99,6171,No
5356-RHIPP,1,20,20,Yes
6624-JDRDS,6,29,161,No
0608-JDVEC,50,20,1013,No
9780-FKVVF,6,59,336,No
1919-RTPQD,7,45,333,No
5214-NLTIT,72,91,6511,No
3345-PBBFH,8,50,393,No
5055-BRMNE,67,107,7009,No
9189-JWSHV,24,94,2264,Yes
2190-PHBHR,72,94,6921,No
2650-GYRYL,33,19,600,No
0746-JTRFU,2,25,56,Yes
5208-FVQKB,70,68,4664,No
7184-LRUUR,22,65,1441,No
6627-CFOSN,59,99,5623,No
3982-JGSFD,36,20,695,No
1574-DYCWE,51,20,1028,No
7247-XOZPB,53,77,4155,No
2466-FCCPT,20,20,395,No
6211-WWLTF,63,100,6330,No
4826-TZEVA,40,75,2971,No
6016-NXBNJ,35,19,638,No
9138-EFSMO,26,79,2034,No
0576-WNXXC,27,96,2510,Yes
4632-XJMEX,53,63,3419,No
8910-LEDAG,34,72,2427,No
3452-GWUIN,19,95,1760,No
2716-GFZOR,43,86,3551,No
3724-UCSHY,6,20,122,No
8626-XHBIE,56,25,1424,No
4628-CTTLA,57,39,2111,Yes
3192-LNKRK,34,84,2909,No
4439-YRNVD,10,36,374,No
2876-VBBBL,1,20,20,Yes
6834-NXDCA,13,24,300,Yes
2208-UGTGR,56,99,5581,No
3005-TYFRD,55,104,5676,No
8670-MEFCP,36,93,3379,No
3079-BCHLN,47,20,942,No
7777-UNYHB,12,20,232,No
5597-GLBUC,1,85,85,Yes
7278-CKDNC,24,80,2088,No
2748-MYRVK,63,100,6137,Yes
8450-UYIBU,35,40,1434,No
2969-VAPYH,67,60,3870,No
4822-YCXMX,25,85,2043,Yes
7181-OQCUT,21,104,2215,No
8474-UMLNT,13,68,842,No
9821-POOTN,35,75,2576,Yes
3836-FZSDJ,71,25,1901,No
9142-XMYJH,29,19,601,No
6559-ILWKJ,71,49,3515,Yes
0187-QSXOE,7,89,605,No
7733-UDMTP,57,55,3094,No
2649-HWLYB,65,76,4929,No
5214-CHIWJ,27,20,595,No
4229-CZMLL,6,75,469,Yes
6904-JLBGY,72,117,8436,No
2465-BLLEU,1,20,19,No
1685-VAYJF,11,45,492,No
8874-EJNSR,39,25,987,No
6917-YACBP,59,90,5496,No
5049-MUBWG,26,75,1908,No
4223-WOZCM,2,50,107,No
0769-MURVM,72,66,4575,No
9253-VIFJQ,65,67,4309,No
7030-FZTFM,72,111,7922,No
9741-YLNTD,6,88,522,No
5917-RYRMG,32,20,587,No
5120-ZBLAI,50,76,3876,No
1194-BHJYC,61,62,3778,No
3663-MITLP,15,101,1457,Yes
0906-QVPMS,72,115,8349,No
9025-ZRPVR,9,19,185,Yes
1905-OEILC,1,20,19,No
7858-GTZSP,12,87,1066,No
3285-UCQVC,37,29,973,Yes
6248-BSHKG,61,20,1226,No
4685-TFLLS,18,20,342,No
3470-BTGQO,21,46,985,No
1209-VFFOC,68,56,3948,No
8224-DWCKX,12,73,828,No
5482-PLVPE,2,24,41,Yes
4553-DVPZG,62,101,6164,No
4902-OHLSK,29,99,2862,Yes
6917-IAYHD,1,34,33,No
0495-ZBNGW,5,80,343,Yes
8620-RJPZN,1,21,20,No
7572-KPVKK,62,104,6590,No
2642-MAWLJ,36,20,717,No
2357-COQEK,28,103,2890,Yes
7103-ZGVNT,69,74,4885,No
3737-GCSPV,11,96,1222,Yes
2027-WKXMW,63,109,6871,No
7137-NAXML,23,20,405,No
2428-ZMCTB,10,20,208,No
2961-VNFKL,71,26,1801,No
1768-HNVGJ,45,70,3062,No
6963-KQYQB,70,24,1764,No
5934-RMPOV,22,85,1816,No
1207-BLKSA,52,23,1255,No
4088-YLDSU,55,104,5743,Yes
8316-BBQAY,65,60,3921,No
1166-PQLGG,72,20,1463,No
3146-JTQHR,10,20,189,No
4291-YZODP,7,20,96,No
4395-PZMSN,5,86,408,No
6427-FEFIG,24,79,1846,No
0017-IUDMW,72,117,8456,No
8706-HRADD,21,44,1011,No
9955-QOPOY,69,61,4263,No
4385-ZKVNW,44,55,2549,No
5446-DKWYW,61,65,3965,No
2034-CGRHZ,24,103,2496,Yes
5797-APWZC,1,91,90,Yes
3683-QKIUE,6,51,288,Yes
4228-ZGYUW,4,90,368,Yes
9031-ZVQPT,72,108,7840,No
2990-IAJSV,72,92,6632,No
8107-KNCIM,14,75,1013,No
9027-YFHQJ,7,25,152,No
5176-LDKUH,48,75,3772,No
4644-OBGFZ,55,20,1026,No
7926-IJOOU,1,19,19,No
6480-YAGIY,45,112,5031,No
4029-HPFVY,3,70,220,No
7602-DBTOU,71,20,1416,No
5345-BMKWB,8,20,158,No
3519-ZKXGG,3,76,256,Yes
5457-COLHT,69,81,5542,No
6416-TVAIH,1,68,68,Yes
5451-YHYPW,72,116,8443,No
5108-ADXWO,11,74,791,Yes
7998-WNZEM,71,81,5708,No
3066-RRJIO,1,70,69,Yes
4664-NJCMS,33,60,2016,No
0307-BCOPK,16,19,326,No
7629-WFGLW,56,96,5471,No
2542-HYGIQ,1,20,19,No
6715-OFDBP,5,70,346,Yes
5016-LIPDW,57,19,1061,No
6481-LXPWL,56,36,1971,No
1567-DSCIC,8,94,773,Yes
2150-UWTFY,22,61,1422,Yes
6124-ACRHJ,1,20,19,No
9362-MWODR,40,64,2460,No
9975-GPKZU,46,20,856,No
9625-RZFUK,63,20,1275,No
5153-LXKDT,68,110,7467,No
5161-UBZXI,69,106,7261,No
1020-JPQOW,56,91,5116,No
7919-ZODZZ,10,66,660,No
0565-JUPYD,63,104,6590,No
6867-ACCZI,24,52,1208,No
5939-XAIXZ,19,56,1033,No
9054-FOWNV,22,89,1885,No
2683-BPJSO,29,84,2467,Yes
2157-MXBJS,13,75,989,Yes
8207-VVMYB,70,26,2006,No
9732-EQMWY,49,99,5025,No
9360-AHGNL,43,110,4830,Yes
1087-UDSIH,3,20,59,Yes
5269-NRGDP,42,73,3088,No
6195-MELTI,57,55,3134,No
5485-WUYWF,2,66,94,Yes
2121-JAFOM,72,116,8312,No
8818-DOPVL,46,104,4863,No
2632-UCGVD,66,100,6871,Yes
5445-PZWGX,62,102,6529,Yes
1227-UDMZR,72,91,6637,No
5198-HQAEN,35,90,3165,No
9170-CCKOU,17,90,1454,Yes
2167-FQSTQ,72,92,6786,No
2819-GWENI,28,20,543,No
1043-YCUTE,56,25,1327,Yes
3814-MLAXC,31,80,2404,Yes
3572-UUHRS,45,19,867,No
2692-PFYTJ,1,26,25,No
1226-UDFZR,2,50,114,Yes
5955-EPOAZ,6,21,109,No
6821-JPCDC,48,97,4692,No
8815-LMFLX,25,25,546,No
9135-HSWOC,64,20,1274,No
8582-KRHPJ,50,35,1782,No
5811-IWXYM,52,101,5301,No
7044-YAACC,4,70,280,No
8189-XRIKE,32,91,2897,No
1506-YJTYT,45,74,3371,No
4123-DVHPH,9,88,801,No
6425-YQLLO,66,106,6975,Yes
5442-UTCVD,3,92,257,Yes
2228-BZDEE,54,20,1079,No
7734-DBOAI,1,40,40,Yes
2789-CZANW,64,110,6997,No
